off_id,agribalyse_en,agribalyse_fr
en:grape-seed-oil,Grapeseed oil,Huile de pépins de raisin
en:grapefruit,"Grapefruit, pulp, raw","Pomelo (dit Pamplemousse), pulpe, cru"
en:grapefruit,"Pummelo, pulp, raw","Pamplemousse chinois, pulpe, cru"
en:grapefruit,"Grapefruit, red or pink, pulp, raw","Pomelo (dit Pamplemousse) rose, pulpe, cru"
en:grapefruit,"Grapefruit, yellow, pulp, raw","Pomelo (dit Pamplemousse) jaune, pulpe, cru"
en:grapefruit-juice,"Grapefruit, pulp, raw","Pomelo (dit Pamplemousse), pulpe, cru"
en:grated-coconut,"Coconut, kernel, dried","Noix de coco, amande, sèche"
en:grated-emmental-cheese,"Emmental cheese, grated, from cow's milk",Emmental ou emmenthal râpé
en:great-scallop,"Scallop, without coral, raw","Coquille Saint-Jacques, noix, crue"
en:noble-scallop,"Scallop, without coral, raw","Coquille Saint-Jacques, noix, crue"
en:green-asparagus,"Asparagus, green, raw","Asperge, verte, crue"
en:green-beans,"Beans, mung, mature, seeds, dry","Haricot mungo, sec"
en:green-beans,"French bean by plane, raw","Haricot vert importé par avion, cru"
en:green-lentils,"Lentil, green, dried","Lentille verte, sèche"
en:green-lentils,"Green lentil, cooked","Lentille verte, cuite"
en:green-olives,"Olive, green, stuffed (anchovy, sweet peppers, etc…)","Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)"
en:green-peas,"Green peas, puree","Petits pois, purée"
en:green-pepper,"Sweet pepper, green, raw","Poivron vert, cru"
en:green-split-pea,"Split pea, dried","Pois cassé, sec"
en:green-tomato,"Tomato, green, raw","Tomate verte, crue"
en:greengage,"Greengage plum, raw","Prune Reine-Claude, crue"
en:ground-black-pepper,"Black pepper, powder","Poivre noir, poudre"
en:ground-coffee,"Coffee, ground","Café, moulu"
en:ground-nutmeg,Nutmeg,Noix de muscade
en:ground-roasted-coffee,"Coffee, ground","Café, moulu"
en:ground-white-pepper,"White pepper, powder","Poivre blanc, poudre"
en:gruyere,"Gruyere cheese, from cow's milk",Gruyère
en:gruyere,"Gruyere cheese, France, Protected Geographical Indication, from cow's milk",Gruyère IGP France
en:guava,"Guava, pulp, raw","Goyave, pulpe, crue"
en:guava-puree,"Guava, pulp, raw","Goyave, pulpe, crue"
en:gurnard,"Red gurnard, raw","Grondin, cru"
en:gurnard,"Tub gurnard, raw","Grondin perlon, cru"
en:haddock,"Haddock, raw","Églefin, cru"
en:hake,"European hake, raw","Merlu, cru"
en:halibut,"Atlantic halibut, raw","Flétan de l'Atlantique ou flétan blanc, cru"
en:halibut,"Greenland halibut, raw","Flétan du Groënland ou flétan noir ou flétan commun, cru"
en:ham,"Pork ham, intended to be cooked or pork ham, intended to be roast/bake",Jambon de porc à cuire ou Jambon à rôtir/cuire au four
en:ham,"Cooked ham, superior quality, rind less","Jambon cuit, supérieur, découenné"
en:ham,"Cooked ham, superior quality, rind less and fatless","Jambon cuit, supérieur, découenné dégraissé"
en:ham,"Cooked ham, superior quality, with rind","Jambon cuit, supérieur, avec couenne"
en:hard-cheese,"Firm cheese, around 27% fat, Maasdam-type cheese",Fromage à pâte ferme environ 27% MG type Maasdam
en:hard-cheese,"Hard cheese, emmental-type cheese, reduced fat","Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse"
en:hard-cheese,"Firm cheese, around 14% fat, Maasdam-type cheese, reduced fat",Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG
en:hard-cheese,"Semi-hard cheese, from ewe's milk",Fromage de brebis à pâte pressée
en:harissa,"Harissa (hot spicy sauce), prepacked",Harissa (sauce condimentaire)
en:hazelnut,Hazelnut,Noisette
en:hazelnut-oil,Hazelnut oil,Huile de noisette
en:heart-of-palm,"Palm heart, canned, drained","Coeur de palmier, appertisé, égoutté"
en:herbes-de-provence,"Provence herbs, dried","Herbes de Provence, séchées"
en:herring,"Atlantic herring, oily, raw","Hareng gras, cru"
en:herring,"Atlantic herring, raw","Hareng, cru"
en:herring,"Atlantic herring, lean, raw","Hareng maigre, cru"
en:high-oleic-sunflower-oil,Sunflower oil,Huile de tournesol
en:high-quality-long-grain-basmati-rice,"Basmati rice, raw","Riz thaï ou basmati, cru"
en:himanthalia-elongata,"Sea thong (Himanthalia elongata), dried or dehydrated","Haricot de mer (Himanthalia elongata), séchée ou déshydratée"
en:honey,Honey,Miel
en:honey-from-france,Honey,Miel
en:honey-from-new-zealand,Honey,Miel
en:honey-from-spain,Honey,Miel
en:honey-from-the-provence,Honey,Miel
en:horseradish,"Horseradish, fresh","Raifort, cru"
en:hydrogenated-palm-oil,Palm oil,"Huile de palme, sans précision"
en:hydrogenated-soy-oil,Soy oil,Huile de soja
en:ice,"Ice cream, in box","Glace ou crème glacée, en bac"
en:ice,"Ice cream, luxury, in cup","Glace ou crème glacée, gourmande, en pot"
en:ice,"Ice cream, in individual cup","Glace ou crème glacée, pot individuel"
en:ice,"Ice cream, luxury, in box","Glace ou crème glacée, gourmande, en bac"
en:ice,Ice lolly,Glace à l'eau
en:ice-cream,Ice lolly,Glace à l'eau
en:iceberg-lettuce,"Iceberg lettuce, raw","Laitue iceberg, crue"
en:icing-sugar,"Sugar, white",Sucre blanc
en:instant-coffee,"Coffee, powder, instant","Café, poudre soluble"
en:invert-sugar,"Sugar, white",Sucre blanc
en:invert-sugar-syrup,"Sugar, white",Sucre blanc
en:iodised-salt,"Salt, white, for human consumption (sea, igneous or rock), no enrichment","Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)"
en:iodised-salt,"Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment","Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)"
en:irish-whiskey,Whisky,Whisky
en:italian-black-parboiled-brown-rice,"Rice, brown, cooked, unsalted","Riz complet, cuit, non salé"
en:jack-mackarels,"Horse mackerel, raw","Chinchard, cru"
en:jack-mackarels,"Horse mackerel, lean (spring, summer), raw","Chinchard maigre, cru"
en:jack-mackarels,"Horse mackerel, oily (autumn, winter), raw","Chinchard gras, cru"
en:jerusalem-artichoke,"Jerusalem artichoke, raw","Topinambour, cru"
en:kale,"Curly kale, raw","Chou frisé, cru"
en:ketchup,Ketchup,Ketchup
en:kiwi,"Kiwi fruit, pulp and seeds, raw","Kiwi, pulpe et graines, cru"
en:kombu,"Tangle (Laminaria digitata), dried or dehydrated","Kombu breton (Laminaria digitata), séchée ou déshydratée"
en:kombu,"Sea belt (Saccharina latissima), dried or dehydrated","Kombu royal (Saccharina latissima), séchée ou déshydratée"
en:kombu,"Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated","Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée"
en:lamb,"Lamb, chop fillet, raw","Agneau, côte filet, crue"
en:lamb,"Lamb, rib chop, raw","Agneau, côte première, crue"
en:lamb,"Lamb, shoulder, lean, raw","Agneau, épaule, maigre, crue"
en:lamb,"Lamb, shoulder, raw","Agneau, épaule, crue"
en:lamb,"Lamb, neck, raw","Agneau, collier, cru"
en:lamb,"Lamb, cutlet, raw","Agneau, côtelette, crue"
en:lamb,"Lamb, saddle, raw","Agneau, selle, crue"
en:lamb,"Lamb, leg, raw","Agneau, gigot, cru"
en:laminaria,"Tangle (Laminaria digitata), dried or dehydrated","Kombu breton (Laminaria digitata), séchée ou déshydratée"
en:laminaria,"Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated","Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée"
en:lard,Lard or pork fat,Saindoux
en:lavander-honey,Honey,Miel
en:lavander-honey-from-the-provence,Honey,Miel
en:lean-stern,"Fermented milk drink, plain, skimmed milk","Lait fermenté à boire, nature, maigre"
en:leek,"Leek, raw","Poireau, cru"
en:lemon,"Lemon zest, raw","Citron, zeste, cru"
en:lemon,"Lime, pulp, raw","Citron vert ou Lime, pulpe, cru"
en:lemon,"Lemon, pulp, raw","Citron, pulpe, cru"
de:limettenschale,"Lemon zest, raw","Citron, zeste, cru"
en:orange-zest,"Lemon zest, raw","Citron, zeste, cru"
en:lemon-juice,"Lemon or lime base, for beverage, without sugar (to be diluted)","Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés"
en:lemon-juice-from-concentrate,"Lemon or lime base, for beverage, without sugar (to be diluted)","Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés"
en:lemon-peel,"Lemon zest, raw","Citron, zeste, cru"
en:lemon-pulpe,"Lime, pulp, raw","Citron vert ou Lime, pulpe, cru"
en:lemon-pulpe,"Lemon, pulp, raw","Citron, pulpe, cru"
en:lemon-puree,"Lemon, pulp, raw","Citron, pulpe, cru"
en:lemonade,"Lemonade, with sugar and artificial sweetener(s)","Limonade, sucrée, avec édulcorants"
en:lemonade,"Lemonade, without sugar, with artificial sweetener(s)","Limonade, non sucrée, avec édulcorants"
en:lemonade,"Lemonade, with sugar","Limonade, sucrée"
en:lentils,"Lentil, dried","Lentille, sèche"
en:lettuce,"Lettuce, raw","Laitue, crue"
en:light-cream,"Thick cream, light, 15-20% fat, refrigerated","Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais"
en:light-cream,"Liquid cream, light, 15-20% fat, UHT","Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT"
en:lime,"Lime, pulp, raw","Citron vert ou Lime, pulpe, cru"
en:lingonberry,"Blueberry, raw","Myrtille, crue"
en:linseed-oil,Linseed oil,Huile de lin
en:liqueur,Liqueur,Liqueur
en:liqueur-wine,Kir (Cocktail of white wine with red fruit liqueur),Kir (au vin blanc)
en:liquid-egg-white,"Egg white, raw","Oeuf, blanc (blanc d'oeuf), cru"
en:liquid-egg-yolk,"Egg yolk, raw","Oeuf, jaune (jaune d'oeuf), cru"
en:liquid-honey,Honey,Miel
en:liquid-sugar,"Sugar, white",Sucre blanc
en:lobster,"Norway lobster, raw","Langoustine, crue"
en:long-grain-basmati-rice,"Basmati rice, raw","Riz thaï ou basmati, cru"
en:long-grain-white-rice,"Rice, raw","Riz blanc, cru"
en:low-fat-milk,"Fermented milk drink, plain, skimmed milk","Lait fermenté à boire, nature, maigre"
en:luchon-natural-mineral-water,"Mineral still water (Luchon), bottled, lightly mineralized","Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31)"
en:lupin,"lupin grain, raw","Lupin, graine crue"
en:lychee,"Lychee, pulp, raw","Litchi, pulpe, cru"
en:maasdam,"Firm cheese, around 14% fat, Maasdam-type cheese, reduced fat",Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG
en:maasdam,"Firm cheese, around 27% fat, Maasdam-type cheese",Fromage à pâte ferme environ 27% MG type Maasdam
en:macademia-nut,Macadamia nut,Noix de macadamia
en:mackarel,"Mackerel, raw","Maquereau, cru"
en:malt-vinegar,Vinegar,Vinaigre
en:malted-wheat-flour,"Wheat flour, type 55 (for bread)",Farine de blé tendre ou froment T55 (pour pains)
en:malted-wheat-flour,"Wheat flour, type 150",Farine de blé tendre ou froment T150
en:malted-wheat-flour,"Wheat flour, type 55 (for pastry)",Farine de blé tendre ou froment T45 (pour pâtisserie)
en:malted-wheat-flour,"Wheat flour, type 65",Farine de blé tendre ou froment T65
en:malted-wheat-flour,"Wheat flour, type 110",Farine de blé tendre ou froment T110
en:malted-wheat-flour,"Wheat flour, type 80",Farine de blé tendre ou froment T80
en:malted-wheat-flour,"Wheat flour, self-raising",Farine de blé tendre ou froment avec levure incorporée
en:mandarin,"Mandarin, pulp, raw","Mandarine, pulpe, crue"
en:mango,"Mango by plane, pulp, raw","Mangue importée par avion, pulpe, crue"
en:mango-puree,"Mango by plane, pulp, raw","Mangue importée par avion, pulpe, crue"
en:manuka-honey,Honey,Miel
en:margarine,"Vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted, with plant sterols esters","Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, aux esters de stérol végétal"
en:margarine,"Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted","Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux"
en:margarine,"Vegetable fat (margarine type), 70% fat, unsalted","Matière grasse végétale (type margarine) à 70% MG, doux"
en:margarine,"Solid vegetable fat (margarine type), for frying",Matière grasse ou graisse végétale solide (type margarine) pour friture
en:margarine,"Vegetable fat (margarine type), spreadable, 50-63% fat, light, lightly salted, rich in omega 3","Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3"
en:margarine,"Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted, with plant sterols esters","Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal"
en:margarine,"Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted, rich in omega 3","Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3"
en:margarine,"Vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted, rich in omega 3","Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3"
en:margarine,"Vegetable fat (margarine type), 80% fat, unsalted","Matière grasse végétale ou margarine, 80% MG, doux"
en:margarine,"Vegetable fat (margarine type), 60% fat, unsalted, sunflowerseed","Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux"
en:margarine,"Vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted","Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux"
en:maroilles,"Maroilles cheese, from cow's milk","Maroilles, sans précision"
en:maroilles,"Maroilles ""laitier"" cheese",Maroilles laitier
en:maroilles,"Maroilles ""fermier"" cheese",Maroilles fermier
en:marsala-wine,Marsala wine,Marsala
en:marzipan,"Almond paste or marzipan, prepacked","Pâte d'amande, préemballée"
en:mascarpone,"Processed cheese, around 20% fat, in wedges or cubes",Fromage fondu en portions ou en cubes environ 20% MG
en:mascarpone,"Coulommiers cheese, from cow's milk",Coulommiers
en:mascarpone,"Feta-type cheese from cow's milk, in oil and spices","Fromage type feta, au lait de vache, à l'huile et aux aromates"
en:mascarpone,"Camembert cheese, from cow's milk","Camembert, sans précision"
en:mascarpone,"Brie de Melun cheese, from cow's milk",Brie de Melun
en:mascarpone,"Soft-ripened washed-rind cheese, from pasteurised milk (Vieux pané-type cheese)","Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané)"
en:mascarpone,"Cheese, dry, from goat's milk",Fromage de chèvre sec
en:mascarpone,"Maroilles ""laitier"" cheese",Maroilles laitier
en:mascarpone,"Crottin de Chavignol cheese, from goat's milk",Crottin de Chavignol (fromage de chèvre)
en:mascarpone,"Carré de l'Est cheese, from cow's milk",Carré de l'Est
en:mascarpone,"Soft-ripened round cheese with bloomy rind, 5 to 11% fat, Camembert-type cheese, reduced fat",Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse
en:mascarpone,"Processed cheese, in slices",Fromage fondu en tranchettes
en:mascarpone,"Brie de Meaux cheese, from cow's milk",Brie de Meaux
en:mascarpone,"Soft-ripened cheese, triple cream, around 40% fat",Fromage à pâte molle triple crème environ 40% MG
en:mascarpone,"Hard cheese, emmental-type cheese, reduced fat","Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse"
en:mascarpone,"Corsica soft ripened cheese, from ewe's milk",Fromage de brebis Corse à pâte molle
en:mascarpone,"Soft-ripened cheese, double cream, around 30% fat",Fromage à pâte molle double crème environ 30% MG
en:mascarpone,"Bresse blue cheese, from cow's milk",Fromage bleu de Bresse
en:mascarpone,"Chaource cheese, from cow's milk",Chaource
en:mascarpone,"Raclette cheese, from cow's milk",Raclette (fromage)
en:mascarpone,Feta-type cheese from cow's milk,"Fromage type feta, au lait de vache"
en:mascarpone,"Soft -ripened washed, bloomy and coloured rind cheese",Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée
en:mascarpone,"Soft-ripened round cheese with bloomy rind, around 5% fat, Camembert-type cheese, reduced fat",Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse
en:mascarpone,"Soft-ripened round cheese with bloomy rind, around 11% fat, Coulommiers-type cheese, reduced fat",Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse
en:mascarpone,"Camembert cheese, from cow's milk, from raw milk",Camembert au lait cru
en:mascarpone,"Brie cheese, from cow's milk","Brie, sans précision"
en:mascarpone,"Blue cheese, from cow's milk",Fromage bleu au lait de vache
en:mascarpone,Soft-ripened cheese with bloomy rind (Camembert-type cheese),Fromage à pâte molle et croûte fleurie (type camembert)
en:mascarpone,"Cheese, semi-dry, from goat's milk",Fromage de chèvre demi-sec
en:mascarpone,"Auvergne blue cheese, from cow's milk",Fromage bleu d'Auvergne
en:mascarpone,"Cheese, buche, from goat's milk, light","Fromage de chèvre bûche, allégé en matière grasse"
en:mayonnaise,"Mayonnaise, reduced fat or light mayonnaise",Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée
en:mayonnaise,Mayonnaise (70% fat and more),Mayonnaise (70% MG min.)
en:meat,"Mutton, meat, raw","Mouton, viande, crue"
en:mechanically-separated-meat-of-turkey,"Turkey, meat, raw","Dinde, viande, crue"
en:mediterranean-mussel,"Mediterranean mussel, raw","Moule de Méditerranée, crue"
en:melon,"Melon, honeydew, pulp, raw","Melon miel ou melon honeydew, pulpe, cru"
en:melon,"Melon, cantaloupe (ex Cavaillon or Charentais melon), pulp, raw","Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru"
en:melted-cheese,"Processed cheese, around 20% fat, in wedges or cubes",Fromage fondu en portions ou en cubes environ 20% MG
en:melted-cheese,"Processed cheese, double cream, around 31% fat","Fromage fondu double crème, environ 31% MG"
en:melted-cheese,"Processed cheese, in slices",Fromage fondu en tranchettes
en:merguez,"Merguez sausage, raw","Merguez, crue"
en:merguez,"Merguez sausage, beef and mutton, raw","Merguez, boeuf et mouton, crue"
en:merguez,"Merguez sausage, pork and beef, raw","Merguez, porc et bœuf, crue"
en:merguez,"Merguez sausage, beef, mutton and pork, raw","Merguez, bœuf, mouton et porc, crue"
en:merguez,"Merguez sausage, pure beef, raw","Merguez, pur bœuf, crue"
en:milk,"Milk, semi-skimmed, UHT","Lait demi-écrémé, UHT"
en:milk,"Milk, whole, UHT","Lait entier, UHT"
en:milk-chocolate,Milk chocolate bar,"Chocolat au lait, tablette"
en:milk-from-france,"Milk, semi-skimmed, UHT","Lait demi-écrémé, UHT"
en:milk-from-france,"Milk, whole, UHT","Lait entier, UHT"
en:milk-powder,"Milk, powder, semi-skimmed","Lait en poudre, demi-écrémé"
en:milk-powder,"Milk, powder, whole","Lait en poudre, entier"
en:milk-powder,"Milk, powder, skimmed","Lait en poudre, écrémé"
en:milled-roasted-peanuts,"Peanut, grilled, salted","Cacahuète, grillée, salée"
en:millet-flour,Millet flour,Farine de millet
en:mineral-water,"Mineral sparkling water (Quézac), bottled, averagely mineralized","Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48)"
en:mint,"Mint, fresh","Menthe, fraîche"
en:mint-leaves,"Mint, fresh","Menthe, fraîche"
en:modified-corn-starch,Maize/corn starch,Amidon de maïs ou fécule de maïs
en:modified-palm-oil,"Palm oil, refined",Huile de palme raffinée
en:molasses,Cane molasses,Mélasse de canne
en:morels,"Morel, raw","Champignon, morille, crue"
en:mountain-honey,Honey,Miel
en:mozzarella,"Mozzarella cheese, from cow's milk",Mozzarella au lait de vache
en:muesli,"Muesli, flakes (Bircher-style)",Muesli floconneux ou de type traditionnel
en:mushroom,"Morel, raw","Champignon, morille, crue"
en:mussel,"Mussel, common, raw","Moule commune, crue"
en:mussel,"Mediterranean mussel, raw","Moule de Méditerranée, crue"
en:mustard,"Mustard, with grains",Moutarde à l'ancienne
en:mustard,Mustard,Moutarde
en:mutton,"Mutton, meat, raw","Mouton, viande, crue"
en:napa-cabbage,"Chinese cabbage (nappa cabbage or bok choy), raw","Chou chinois ou pak-choi ou pé-tsai, cru"
en:natural-vanilla-extract,"Vanilla, aqueous extract","Vanille, extrait aqueux"
en:neapolitan-wafer,Wafer biscuit without filling,Gaufrette ou éventail sans fourrage
en:non-hydrogenated-palm-oil,Palm oil,"Huile de palme, sans précision"
en:non-hydrogenated-sunflower-oil,Sunflower oil,Huile de tournesol
en:noodle,"Rice noodle, dried","Vermicelle de riz, sèche"
en:noodle,"Asian noodles, flavoured, dehydrated","Nouilles asiatiques aromatisées, déshydratées"
en:nori,"Laver (Porphyra sp.), dried or dehydrated","Nori (Porphyra sp.), séchée ou déshydratée"
en:nori,"Sea lettuce (Enteromorpha sp.), dried or dehydrated","Ao-nori (Enteromorpha sp.), séchée ou déshydratée"
en:north-pacific-hake,"European hake, braised","Merlu, cuit à l'étouffée"
en:norway-lobster,"Norway lobster, raw","Langoustine, crue"
en:nougat,Nougat,Nougat ou touron
en:nuoc-mam,"Nuoc mam sauce or fish sauce, prepacked","Sauce Nuoc Mâm ou Sauce au poisson, préemballée"
en:nutmeg,Nutmeg,Noix de muscade
en:oat,"Oat, raw","Avoine, crue"
en:oat-bran,Oat bran,Son d'avoine
en:oat-fibre,Oat bran,Son d'avoine
en:oat-flakes,Oatmeal flakes,Flocon d'avoine
en:olive-oil,"Olive oil, extra virgin",Huile d'olive vierge extra
en:olives,"Olive, green, stuffed (anchovy, sweet peppers, etc…)","Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)"
en:omelette,"Omelette, with herbs",Omelette aux fines herbes
en:onion,"Onion, raw","Oignon, cru"
en:orange,"Orange, pulp, raw","Orange, pulpe, crue"
en:orange-blossom-honey,Honey,Miel
en:orange-juice,"Orange juice, home-made","Jus d'orange, maison"
en:orange-juice-from-concentrate,"Orange juice, home-made","Jus d'orange, maison"
en:orange-pulp,"Orange, pulp, raw","Orange, pulpe, crue"
en:oregano,"Oregano, dried","Origan, séché"
en:organic-acacia-honey,Honey,Miel
en:organic-apple,"Apple, pulp, raw","Pomme, pulpe, crue"
en:organic-apple,"Apple, pulp and peel, raw","Pomme, pulpe et peau, crue"
en:organic-apple-juice,"Apple juice, pure juice","Jus de pomme, pur jus"
en:organic-blueberry,"Blueberry, raw","Myrtille, crue"
en:organic-brown-basmati-rice,"Rice, brown, raw","Riz complet, cru"
en:organic-brown-basmati-rice,"Basmati rice, raw","Riz thaï ou basmati, cru"
en:organic-brown-rice,"Rice, brown, raw","Riz complet, cru"
en:organic-brown-sugar,"Sugar, brown",Sucre roux
en:organic-cane-sugar,"Sugar, white",Sucre blanc
en:organic-cinnamon,"Cinnamon, powder","Cannelle, poudre"
en:organic-cocoa-butter,Cocoa butter,Beurre de cacao
en:organic-concentrated-pineapple-juice,"Pineapple, pulp, raw","Ananas, pulpe, cru"
en:organic-corn,"Sweet corn, canned, drained","Maïs doux, appertisé, égoutté"
en:organic-corn-flour,Maize/corn flour,Farine de maïs
en:organic-dark-chocolate,"Dark chocolate bar, without sugar and with artificial sweeteners","Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette"
en:organic-dark-chocolate,"Dark chocolate bar, more than 40% cocoa, for cooking","Chocolat noir à 40% de cacao minimum, à pâtisser, tablette"
en:organic-dark-chocolate,"Dark chocolate bar, less than 70% cocoa","Chocolat noir à moins de 70% de cacao, à croquer, tablette"
en:organic-dark-chocolate,"Dark chocolate bar, more than 70% cocoa","Chocolat noir à 70% cacao minimum, extra, dégustation, tablette"
en:organic-durum-wheat-semolina,"Durum wheat semolina, raw","Semoule de blé dur, crue"
en:organic-eucalyptus-honey,Honey,Miel
en:organic-extra-virgin-olive-oil,"Olive oil, extra virgin",Huile d'olive vierge extra
en:organic-fennel-seed,"Fennel, seed","Fenouil, graine"
en:organic-fenugreek-seed,"Fenugreek, seed","Fenugrec, graine"
en:organic-flower-honey,Honey,Miel
en:organic-garlic,"Garlic, fresh","Ail, cru"
en:organic-ginger,"Ginger, raw","Gingembre, racine crue"
en:organic-high-quality-long-grain-basmati-rice,"Basmati rice, raw","Riz thaï ou basmati, cru"
en:organic-honey,Honey,Miel
en:organic-honey-from-roumania,Honey,Miel
en:organic-lemon-juice,"Orange juice, home-made","Jus d'orange, maison"
en:organic-linseed-oil,Linseed oil,Huile de lin
en:organic-long-grain-white-rice,"Rice, raw","Riz blanc, cru"
en:organic-milk,"Milk, whole, UHT","Lait entier, UHT"
en:organic-mountain-honey,Honey,Miel
en:organic-oat,"Oat, raw","Avoine, crue"
en:organic-orange-juice,"Orange juice, home-made","Jus d'orange, maison"
en:organic-palm-oil,Palm oil,"Huile de palme, sans précision"
en:organic-pasteurised-goat-milk,"Goat milk, half skimmed, UHT pasteurized","Lait de chèvre, demi-écrémé, UHT"
en:organic-pasteurized-butter,"Butter, 82% fat, unsalted","Beurre à 82% MG, doux"
en:organic-pasteurized-skimmed-milk,"Milk, skimmed, pasteurised","Lait écrémé, pasteurisé"
en:organic-peppermint,"Mint, fresh","Menthe, fraîche"
en:organic-raspberry,"Raspberry, raw","Framboise, crue"
en:organic-red-wine,"Wine, red, 12°",Vin rouge 12°
en:organic-red-wine,"Wine, red, 13°",Vin rouge 13°
en:organic-red-wine,"Wine, red, 11°",Vin rouge 11°
en:organic-red-wine,"Wine, red, 10°",Vin rouge 10°
en:organic-rosemary,"Rosemary, fresh","Romarin, frais"
en:organic-semi-skimmed-milk,"Milk, semi-skimmed, pasteurised","Lait demi-écrémé, pasteurisé"
en:organic-semi-skimmed-milk,"Milk, semi-skimmed, UHT","Lait demi-écrémé, UHT"
en:organic-semi-whole-durum-wheat-semolina,"Durum wheat semolina, raw","Semoule de blé dur, crue"
en:organic-sesame-oil,Sesame oil,Huile de sésame
en:organic-smoked-paprika,Paprika,Paprika
en:organic-sugar,"Sugar, white",Sucre blanc
en:organic-sunflower-oil,Sunflower oil,Huile de tournesol
en:organic-superior-quality-durum-wheat-semolina,"Durum wheat semolina, raw","Semoule de blé dur, crue"
en:organic-thai-long-grain-white-rice,"Rice, raw","Riz blanc, cru"
en:organic-thyme,"Thyme, fresh","Thym, frais"
en:organic-tomato-puree,"Tomato puree, canned","Tomate, purée, appertisée"
en:organic-uht-pasteurised-semi-skimmed-milk,"Milk, semi-skimmed, UHT","Lait demi-écrémé, UHT"
en:organic-uht-pasteurised-whole-milk,"Milk, whole, UHT","Lait entier, UHT"
en:organic-unrefined-cane-sugar,"Sugar, brown",Sucre roux
en:organic-white-rice,"Rice, raw","Riz blanc, cru"
en:organic-whole-milk,"Milk, whole, UHT","Lait entier, UHT"
en:organic-whole-milk,"Milk, whole, pasteurised","Lait entier, pasteurisé"
en:oyster,"European oyster, raw","Huître plate, crue"
en:oyster,"Oyster, raw","Huître, sans précision, crue"
en:oyster,"Pacific oyster, raw","Huître creuse, crue"
en:pacific-oyster,"Pacific oyster, raw","Huître creuse, crue"
en:palm-and-palm-kernel-oil,Palm oil,"Huile de palme, sans précision"
en:palm-kernel-oil,Palm oil,"Huile de palme, sans précision"
en:palm-kernel-oil-and-fat,Palm oil,"Huile de palme, sans précision"
en:palm-oil,Palm oil,"Huile de palme, sans précision"
en:palm-oil,"Palm oil, refined",Huile de palme raffinée
en:palm-oil-and-fat,Palm oil,"Huile de palme, sans précision"
en:palm-or-palm-kernel-oil,Palm oil,"Huile de palme, sans précision"
en:palmaria-palmata,"Dulse (Palmaria palmata), dried or dehydrated","Dulse (Palmaria palmata), séchée ou déshydratée"
en:papaya,"Papaya, pulp, raw","Papaye, pulpe, crue"
en:paprika,Paprika,Paprika
en:paprika-paste,Paprika,Paprika
en:paprika-powder,Paprika,Paprika
en:parboiled-brown-long-grain-rice,"Rice, brown, raw","Riz complet, cru"
en:parboiled-long-grain-rice,"Rice, parboiled, raw","Riz blanc étuvé, cru"
